bird_name,scientific_name,family,at_a_glance,conservation_status,habitat,url
Mountain Bluebird,Sialia currucoides,,"The powder-blue male Mountain Bluebird is among the most beautiful birds of the West. Living in more open terrain than the other two bluebirds, this species may nest in holes in cliffs or dirt banks when tree hollows are not available. It often seeks its food by hovering low over the grass in open fields. During the winter, Mountain Bluebirds often gather in large flocks, even by the hundreds, sometimes associating with Western Bluebirds.",Least Concern,"Desert and Arid Habitats, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/mountain-bluebird
Short-eared Owl,Asio flammeus,,"Easier to see than most owls, the Short-ear lives in open terrain, such as prairies and marshes. It is often active during daylight, especially in the evening. When hunting it flies low over the fields, with buoyant, floppy wingbeats, looking rather like a giant moth. Aside from its North American range, it also nests in South America and Eurasia, and on many oceanic islands, including Hawaii.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Landfills and Dumps, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/short-eared-owl
Great Gray Owl,Strix nebulosa,,"A big nightbird, haunting woods of the far north and certain high mountains of the west. Its great size is partly illusion: it has very thick fluffy plumage, and its body size is smaller than it would appear, so it preys mostly on tiny rodents. When there is a population crash of voles and other rodents in the boreal forest, numbers of Great Gray Owls may drift into the northeast, causing excitement for birders.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, High Mountains, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/great-gray-owl
Lesser Goldfinch,Spinus psaltria,,"Very common in parts of the West, this tiny finch is easy to overlook until one learns its chiming and twittering callnotes. Small flocks of Lesser Goldfinches are often found feeding in weedy fields or in streamside trees. Two color patterns occur in the United States, and males in some areas may be either green-backed or black-backed. The complicated song of the male usually includes short imitations of the voices of other birds.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/lesser-goldfinch
American Flamingo,Phoenicopterus ruber,,"Until about 1900, flocks of flamingos from the Bahamas regularly migrated to Florida Bay, in what is now Everglades National Park. Today, most flamingos seen on the loose in North America are considered suspect, as possible escapees from aviaries or zoos. However, some of those appearing in Florida Bay may still be wanderers from Bahamian colonies, and some seen in coastal Texas may come from colonies on the Yucatan Peninsula of Mexico.",Least Concern,"Coasts and Shorelines, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/american-flamingo
American Dipper,Cinclus mexicanus,,"This distinctive bird is locally common along rushing streams in the West, especially in high mountains. It is usually seen bobbing up and down on a rock in mid-stream, or flying low over the water, following the winding course of a creek rather than taking overland shortcuts. The song and callnotes of the Dipper are loud, audible above the roar of the water.",Least Concern,"Arroyos and Canyons, High Mountains, Lakes, Ponds, and Rivers",https://www.audubon.org/field-guide/bird/american-dipper
Yellow-crowned Night Heron,Nyctanassa violacea,,"More solitary and often more secretive than the Black-crowned Night Heron, the Yellow-crowned is still quite common in parts of the southeast. Particularly in coastal regions, often feeds by day as well as by night. Its stout bill seems to be an adaptation for feeding on hard-shelled crustaceans -- it is called 'crab-eater' in some locales. The species was introduced into Bermuda in a successful attempt to bring land crabs under control there.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/yellow-crowned-night-heron
White-tailed Kite,Elanus leucurus,,"As recently as the 1940s, this graceful hawk was considered rare and endangered in North America, restricted to a few sites in California and Texas. In recent decades, it has increased greatly in numbers and spread into many new areas. It is often seen hovering on rapidly beating wings over open fields, looking for small rodents, its main food source. The introduction of the house mouse from Europe may have played a part in its increase; formerly, the kite fed almost entirely on voles.",Least Concern,"Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/white-tailed-kite
Western Meadowlark,Sturnella neglecta,,"Remarkably similar to the Eastern Meadowlark and Chihuahuan Meadowlark in colors and pattern, this bird is recognized by its very different song and call notes. The meadowlarks evidently can easily recognize their own kind in the same way; even where Western Meadowlarks overlap with the other two species in the Midwest and Southwest, they almost never interbreed. However, they do seem to see each other as potential rivals, and they actively defend territories against each other.",Least Concern,"Desert and Arid Habitats, Fields, Meadows, and Grasslands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/western-meadowlark
Scissor-tailed Flycatcher,Tyrannus forficatus,,"On the southern Great Plains, this beautiful bird is common in summer, often resting on roadside fences and wires. Seen perched at a distance it might suggest a slim, long-tailed Mockingbird -- until it flies, showing off the salmon-pink under the wings, its long tail streamers flaring wide as it maneuvers in mid-air to catch an insect. Although it looks unique, the Scissor-tail is closely related to the kingbirds, and like them it will fearlessly attack larger birds that come near its nest.",Least Concern,"Fields, Meadows, and Grasslands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/scissor-tailed-flycatcher
Tundra Swan,Cygnus columbianus,,"Nesting on Arctic tundra and migrating long distances to favored wintering areas, this native swan was less affected by human settlement than was the Trumpeter Swan. Destruction of southern wetlands has reduced its former food sources in wintering areas, but it has adapted by shifting its habits to feeding on waste products in agricultural fields. The North American population is often called Whistling Swan.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/tundra-swan
Black-headed Grosbeak,Pheucticus melanocephalus,,"In foothills and riverside woods of the West, this species is often very common as a nesting bird. In mid-summer, the oak woodlands often resound with the insistent whining whistle of young Black-headed Grosbeaks begging for food. This is among few birds able to eat Monarch butterflies, despite the noxious chemicals those insects contain from eating milkweeds in the larval stage; in Mexico in winter, the grosbeaks eat large numbers of Monarchs.",Least Concern,"Arroyos and Canyons, Desert and Arid Habitats, Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/black-headed-grosbeak
Snowy Egret,Egretta thula,,"A beautiful, graceful small egret, very active in its feeding behavior in shallow waters. Known by its contrasting yellow feet, could be said to dance in the shallows on golden slippers. The species was slaughtered for its plumes in the 19th century, but protection brought a rapid recovery of numbers, and the Snowy Egret is now more widespread and common than ever. Its delicate appearance is belied by its harsh and raucous calls around its nesting colonies.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/snowy-egret
